1,101,5.0
1,102,3.0
1,103,2.5
2,101,2.0
2,102,2.5
2,103,5.0
2,104,2.0
3,101,2.0
3,104,4.0
3,105,4.5
3,107,5.0
4,101,5.0
4,103,3.0
4,104,4.5
4,106,4.0
5,101,4.0
5,102,3.0
5,103,2.0
5,104,4.0
5,105,3.5
5,106,4.0
6,101,5.0
6,102,3.0
6,103,2.5
6,107,5.0
7,101,2.0
7,102,2.5
7,103,5.0
7,104,2.0
7,107,5.0
8,101,2.0
8,104,4.0
8,105,4.5
8,107,5.0
9,101,5.0
9,103,3.0
9,104,4.5
9,106,4.0
9,107,5.0
10,101,4.0
10,102,3.0
10,103,2.0
10,104,4.0
10,105,3.5
10,106,4.0
10,107,5.0
11,101,5.0
11,102,3.0
11,103,2.5
11,107,5.0
12,101,2.0
12,102,2.5
12,103,5.0
12,104,2.0
12,107,5.0
13,101,2.0
13,104,4.0
13,105,4.5
13,107,5.0
14,101,5.0
14,103,3.0
14,104,4.5
14,106,4.0
14,107,5.0
15,101,4.0
15,102,3.0
15,103,2.0
15,104,4.0
15,105,3.5
15,106,4.0
15,107,5.0
16,101,5.0
16,102,3.0
16,103,2.5
16,107,5.0
17,101,2.0
17,102,2.5
17,103,5.0
17,104,2.0
17,107,5.0
18,101,2.0
18,104,4.0
18,105,4.5
18,107,5.0
19,101,5.0
19,103,3.0
19,104,4.5
19,106,4.0
19,107,5.0
20,101,4.0
20,102,3.0
20,103,2.0
20,104,4.0
20,105,3.5
20,106,4.0
20,107,5.0
21,101,5.0
21,102,3.0
21,103,2.5
21,107,5.0
22,101,2.0
22,102,2.5
22,103,5.0
22,104,2.0
22,107,5.0
23,101,2.0
23,104,4.0
23,105,4.5
23,107,5.0
24,101,5.0
24,103,3.0
24,104,4.5
24,106,4.0
24,107,5.0
25,101,4.0
25,102,3.0
25,103,2.0
25,104,4.0
25,105,3.5
25,106,4.0
25,107,5.0
26,101,5.0
26,102,3.0
26,103,2.5
26,107,5.0
27,101,2.0
27,102,2.5
27,103,5.0
27,104,2.0
27,107,5.0
28,101,2.0
28,104,4.0
28,105,4.5
28,107,5.0
29,101,5.0
29,103,3.0
29,104,4.5
29,106,4.0
